ID,Klimt_presence,Klimt_presence_audio,Klimt_gaze,Klimt_gaze_percent,Klimt_saccade_rate,Klimt_engagement,Klimt_valence,Klimt_emotions,van Dongen_presence,van Dongen_presence_audio,van Dongen_gaze,van Dongen_gaze_percent,van Dongen_saccade_rate,van Dongen_engagement,van Dongen_valence,van Dongen_emotions,Braque_presence,Braque_presence_audio,Braque_gaze,Braque_gaze_percent,Braque_saccade_rate,Braque_engagement,Braque_valence,Braque_emotions,Pollock_presence,Pollock_presence_audio,Pollock_gaze,Pollock_gaze_percent,Pollock_saccade_rate,Pollock_engagement,Pollock_valence,Pollock_emotions,de Chirico_presence,de Chirico_presence_audio,de Chirico_gaze,de Chirico_gaze_percent,de Chirico_saccade_rate,de Chirico_engagement,de Chirico_valence,de Chirico_emotions,Janco_presence,Janco_presence_audio,Janco_gaze,Janco_gaze_percent,Janco_saccade_rate,Janco_engagement,Janco_valence,Janco_emotions,Picasso_presence,Picasso_presence_audio,Picasso_gaze,Picasso_gaze_percent,Picasso_saccade_rate,Picasso_engagement,Picasso_valence,Picasso_emotions
101,83.23,95.67,73.47,88.27,0.61,Moderate Engagement,,"surprise,surprise,surprise,surprise,surprise,surprise,neutral,surprise,surprise,surprise,surprise,neutral,neutral,surprise,surprise,surprise,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,surprise,surprise,neutral,surprise,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,surprise",93.87,115.89,65.67,69.96,0.73,Moderate Engagement,,"neutral,neutral,neutral,surprise,neutral,surprise,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,anger,anger,anger,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,anger,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",82.83,110.44,67.68,81.71,0.66,Moderate Engagement,,"neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,surprise,neutral",94.1,108.16,59.05,62.75,0.66,Moderate Engagement,,"neutral,anger,anger,anger,neutral,surprise,anger,anger,neutral,anger,anger,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",55.13,114.85,40.88,74.15,0.39,High Engagement,,"surprise,neutral,neutral,neutral,surprise,surprise,surprise,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise",82.58,127.05,65.52,79.34,1.63,Low Engagement,,"surprise,surprise,neutral,surprise,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral",58.1,96.83,45.32,78.0,0.73,Moderate Engagement,,"surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral"
102,67.7,77.82,47.35,69.94,0.91,Moderate Engagement,,"sadness,neutral,neutral,neutral,neutral,neutral,surprise,surprise,surprise,surprise,surprise,neutral,anger,anger,neutral,anger,neutral,neutral,anger,neutral,neutral,surprise,anger,anger,anger,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise",37.97,46.88,20.33,53.54,1.87,Low Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral",72.33,96.44,48.73,67.37,0.53,Moderate Engagement,,"sadness,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,sadness,sadness,sadness,anger,anger,anger,neutral,anger,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,surprise",96.75,111.21,36.28,37.5,0.96,Moderate Engagement,,"surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,sadness,surprise,anger,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral",46.5,96.88,27.33,58.77,0.73,Moderate Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,sadness,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,joy,neutral,neutral,neutral",69.77,107.34,58.87,84.38,0.44,High Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise",59.12,98.53,51.12,86.47,0.33,High Engagement,,"neutral,joy,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,anger,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral"
103,6.8,7.82,2.3,33.82,7.83,Low Engagement,,"neutral,neutral,neutral,neutral",61.95,76.48,49.45,79.82,0.26,High Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral",24.98,33.31,20.98,83.99,0.81,Moderate Engagement,,"neutral,neutral,neutral,neutral,anger,surprise,surprise,anger,anger,neutral,surprise,neutral,neutral",77.62,89.22,64.82,83.51,0.2,High Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",45.15,94.06,37.65,83.39,0.4,High Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral",57.3,88.15,50.23,87.66,1.25,Moderate Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,neutral,neutral,neutral,neutral,joy,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",54.7,91.17,50.0,91.41,0.36,High Engagement,,"neutral,neutral,surprise,surprise,neutral,surprise,surprise,neutral,neutral,surprise,neutral,neutral,neutral,neutral,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral"
104,88.55,101.78,77.47,87.49,0.13,High Engagement,,"surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,neutral,surprise,neutral,neutral,neutral,neutral,neutral,surprise,surprise,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,anger,neutral,neutral,neutral,neutral,surprise",79.22,97.8,62.4,78.77,0.22,High Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,anger,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",5.0,6.67,2.68,53.6,6.34,Low Engagement,,"neutral,neutral,neutral",88.48,101.7,71.3,80.58,0.1,High Engagement,,"neutral,surprise,neutral,neutral,anger,neutral,neutral,neutral,anger,anger,neutral,neutral,neutral,anger,anger,neutral,neutral,neutral,anger,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral",51.43,107.15,38.27,74.41,0.5,High Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",113.08,173.97,99.95,88.39,0.37,High Engagement,,"neutral,anger,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,surprise,anger,neutral,neutral,neutral,neutral",13.37,22.28,10.27,76.81,1.75,Low Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral"
105,78.77,90.54,41.92,53.22,2.17,Low Engagement,,"neutral,surprise,neutral,surprise,neutral,neutral,surprise,surprise,surprise,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,anger,neutral,surprise,anger,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,neutral",74.68,92.2,21.05,28.19,2.85,Low Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,neutral,neutral,anger,anger,neutral,anger,anger,anger,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral",67.43,89.91,28.32,42.0,2.79,Low Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,anger,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,anger,anger,neutral,anger,neutral,neutral,surprise,anger,neutral,anger,neutral,neutral,neutral",79.48,91.36,32.15,40.45,1.34,Moderate Engagement,,"neutral,neutral,surprise,neutral,surprise,neutral,neutral,neutral,surprise,neutral,neutral,anger,surprise,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise",50.12,104.42,17.72,35.36,2.54,Low Engagement,,"neutral,neutral,neutral,anger,surprise,anger,neutral,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",61.32,94.34,25.57,41.7,2.7,Low Engagement,,"neutral,anger,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral",51.05,85.08,36.33,71.17,0.83,Moderate Engagement,,"neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral"
106,22.53,25.9,15.28,67.82,1.57,Low Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",11.62,14.35,7.23,62.22,1.66,Low Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral",25.4,33.87,15.0,59.06,1.53,Low Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",79.95,91.9,68.32,85.45,0.15,High Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",23.35,48.65,18.1,77.52,0.44,High Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",48.07,73.95,38.13,79.32,1.02,Moderate Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",55.93,93.22,47.05,84.12,0.6,Moderate Engagement,,"neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral"
107,83.5,95.98,73.45,87.96,0.5,High Engagement,,"joy,joy,neutral,surprise,surprise,surprise,surprise,joy,surprise,surprise,surprise,surprise,surprise,neutral,surprise,joy,sadness,surprise,surprise,neutral,surprise,neutral,anger,neutral,neutral,joy,surprise,surprise,surprise,neutral,neutral,neutral,surprise,surprise,surprise,surprise,surprise,neutral,anger,neutral,joy,neutral",75.98,93.8,66.53,87.56,0.84,Moderate Engagement,,"joy,joy,joy,joy,surprise,joy,neutral,neutral,neutral,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",69.03,92.04,47.02,68.12,0.79,Moderate Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,joy,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral",83.75,96.26,61.7,73.67,0.86,Moderate Engagement,,"neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,anger,neutral,anger,anger,neutral,joy,joy,surprise,joy,joy,neutral,neutral,neutral,surprise,surprise,neutral,surprise,neutral,neutral,neutral,surprise,surprise,neutral,anger,neutral,neutral,neutral,neutral,joy,joy,joy",44.53,92.77,35.42,79.54,0.4,High Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral,neutral,surprise,surprise,neutral,neutral,neutral",68.8,105.85,54.27,78.88,1.84,Low Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,anger,anger,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,sadness,surprise,neutral,neutral",54.33,90.55,44.6,82.09,0.52,Moderate Engagement,,"neutral,neutral,neutral,neutral,anger,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,surprise,surprise,surprise,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,anger,anger,neutral,neutral"
108,86.2,99.08,75.47,87.55,0.33,High Engagement,,"joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy",80.5,99.38,48.98,60.84,0.86,Moderate Engagement,,"joy,joy,joy,joy,joy,joy,joy,neutral,neutral,neutral,joy,joy,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,joy,anger,anger,anger,neutral,neutral,anger,anger,anger,anger,neutral,neutral,joy,joy,joy,joy,joy,joy,neutral,joy",74.13,98.84,41.08,55.42,0.68,Moderate Engagement,,"neutral,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,neutral,anger,anger,anger,neutral,joy,neutral,neutral,joy,joy,joy,anger,anger,anger,joy,anger,joy,joy,joy,joy,joy,neutral,joy,joy,neutral,neutral",88.47,101.69,58.83,66.5,0.53,Moderate Engagement,,"joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,neutral,joy",50.15,104.48,26.5,52.84,1.17,Moderate Engagement,,"joy,joy,joy,joy,joy,joy,surprise,surprise,neutral,anger,anger,anger,anger,surprise,surprise,anger,joy,surprise,surprise,anger,anger,anger,anger,anger,joy,neutral",69.32,106.65,51.68,74.55,0.85,Moderate Engagement,,"joy,joy,joy,anger,surprise,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,neutral,joy,surprise",56.68,94.47,45.12,79.6,0.55,Moderate Engagement,,"neutral,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,surprise,surprise,surprise,surprise,surprise,sadness,joy,surprise,surprise"
109,80.27,92.26,56.98,70.99,1.35,Moderate Engagement,,"neutral,surprise,surprise,surprise,surprise,surprise,surprise,neutral,surprise,surprise,surprise,neutral,surprise,neutral,neutral,surprise,surprise,surprise,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral",71.33,88.06,34.02,47.69,1.12,Moderate Engagement,,"neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral",64.45,85.93,49.72,77.15,1.25,Moderate Engagement,,"surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",76.35,87.76,48.9,64.05,0.92,Moderate Engagement,,"neutral,neutral,neutral,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,neutral,surprise,neutral",44.43,92.56,31.13,70.07,1.28,Moderate Engagement,,"surprise,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",60.23,92.66,46.57,77.32,1.27,Moderate Engagement,,"surprise,surprise,neutral,surprise,neutral,surprise,neutral,neutral,surprise,surprise,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,surprise",53.85,89.75,45.85,85.14,1.0,Moderate Engagement,,"neutral,surprise,neutral,neutral,neutral,neutral,surprise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral"
110,92.22,106.0,76.15,82.57,0.71,Moderate Engagement,,"joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,neutral,joy,joy,joy,joy,joy",79.2,97.78,49.9,63.01,0.2,High Engagement,,"joy,joy,joy,joy,neutral,joy,joy,joy,joy,neutral,joy,joy,joy,joy,joy,joy,neutral,neutral,neutral,neutral,neutral,joy,neutral,neutral,neutral,neutral,anger,anger,anger,neutral,neutral,neutral,anger,anger,anger,neutral,neutral,neutral,neutral,joy",78.0,104.0,46.0,58.97,0.3,High Engagement,,"joy,joy,joy,joy,joy,joy,joy,joy,neutral,joy,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,joy,neutral,neutral,neutral,neutral,joy,joy",88.7,101.95,52.48,59.17,0.78,Moderate Engagement,,"joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,neutral,neutral,neutral,neutral,joy,neutral,joy,joy,neutral,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,joy,neutral,joy,joy,neutral",48.23,100.48,35.47,73.54,0.17,High Engagement,,"joy,joy,joy,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral",75.6,116.31,49.33,65.25,0.55,Moderate Engagement,,"joy,joy,joy,joy,joy,joy,joy,joy,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,anger,neutral,neutral",55.97,93.28,47.22,84.37,0.17,High Engagement,,"neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral"
